@RELATION "census-chborn-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,32"

@ATTRIBUTE year NUMERIC
@ATTRIBUTE gq {HH_in_1970_definition_but_sampled_as_larger_unit, Other_group_quarters, Institution}
@ATTRIBUTE gqtypeg {NA_(household), Rooming_house, Other_institutions, Other_non-instit_GQ_and_unknown, Correctional_institutions, College_dormitory, Mental_institutions, Military}
@ATTRIBUTE farm {Non-Farm, Farm}
@ATTRIBUTE ownershg {Rented, Owned_or_being_bought_(loan)}
@ATTRIBUTE value NUMERIC
@ATTRIBUTE rent NUMERIC
@ATTRIBUTE ftotinc NUMERIC
@ATTRIBUTE nfams NUMERIC
@ATTRIBUTE ncouples NUMERIC
@ATTRIBUTE nmothers NUMERIC
@ATTRIBUTE nfathers NUMERIC
@ATTRIBUTE momloc NUMERIC
@ATTRIBUTE stepmom NUMERIC
@ATTRIBUTE momrule NUMERIC
@ATTRIBUTE poploc NUMERIC
@ATTRIBUTE steppop NUMERIC
@ATTRIBUTE poprule NUMERIC
@ATTRIBUTE sploc NUMERIC
@ATTRIBUTE sprule NUMERIC
@ATTRIBUTE famsize NUMERIC
@ATTRIBUTE nchild NUMERIC
@ATTRIBUTE nchlt5 NUMERIC
@ATTRIBUTE famunit NUMERIC
@ATTRIBUTE eldch NUMERIC
@ATTRIBUTE yngch NUMERIC
@ATTRIBUTE nsibs NUMERIC
@ATTRIBUTE relateg {Spouse, Head_Householder, Child, Partner_friend_visitor, Sibling, Other_relatives, Grandchild, Other_non-relatives, Sibling-in-Law, Institutional_inmates, Parent-in-Law, Parent, Child-in-law}
@ATTRIBUTE age NUMERIC
@ATTRIBUTE sex {Female, Male}
@ATTRIBUTE raceg {White, Black_Negro, Japanese, Other_race_nec, Chinese, Other_Asian_or_Pacific, American_Indian}
@ATTRIBUTE chborn NUMERIC
@ATTRIBUTE bplg {California, Louisiana, Washington, Ohio, Central_America, Nebraska, Illinois, New_Jersey, Abroad_(unknown)_or_at_sea, Japan, Cuba, Virginia, Missouri, Portugal, Texas, Pennsylvania, Turkey, North_Carolina, Mexico, South_America, Tennessee, Minnesota, Indonesia, Mississippi, New_York, Michigan, Oklahoma, Massachusetts, Kansas, Georgia, Alabama, Iowa, Iran, USSR_Russia, Oregon, Canada, Australia_and_New_Zealand, Arkansas, Hawaii, Korea, Kentucky, Belgium, Arizona, Philippines, Sweden, West_Virginia, England, Puerto_Rico, United_Kingdom_ns, Yugoslavia, North_Dakota, Germany, Connecticut, Indiana, Maryland, Colorado, Idaho, Iceland, Vietnam, Lithuania, West_Indies, New_Mexico, Lebanon, South_Dakota, Greece, Rhode_Island, Nevada, Utah, Spain, Finland, Montana, U_S__Virgin_Islands, India, China, Wisconsin, Hungary, Africa, Poland, Laos, Florida, Netherlands, Italy, Pacific_Islands, Guam, Wyoming, Thailand, Saudi_Arabia, District_of_Columbia, South_Carolina, Scotland, Ireland, Cambodia_(Kampuchea), Israel_Palestine, Vermont, Denmark, France, Romania, Czechoslovakia, New_Hampshire, Austria, Cyprus, Afghanistan, Syria, Switerland, Alaska, Maine, Delaware, Iraq, Norway, Malaysia}
@ATTRIBUTE school {No_not_in_school, Yes_in_school}
@ATTRIBUTE educrec {1_to_3_years_of_college, Grade_12, None_or_preschool, Grade_10, Grade_5-8, Grade_9, Grade_11, Grade_1-4, 4+_years_of_college}
@ATTRIBUTE schltype {Other_private_1980, Public_school, Church-related_(1980)}
@ATTRIBUTE empstatg {Not_in_labor_force, Employed, Unemployed}
@ATTRIBUTE labforce {No_not_in_labor_force, Yes_in_labor_force}
@ATTRIBUTE occ1950 {Cashiers, Stenographers_typists_and_secretaries, Attendants_hospital_and_other_institution, Janitors_and_sextons, Purchasing_agents_and_buyers_(nec), Laborers_(nec), Social_and_welfare_workers_except_group, Foremen_(nec), Clerical_and_kindred_workers_(n_e_c_), Managers_officials_and_proprietors_(nec), Bookkeepers, Waiters_and_waitresses, Attendants_professional_and_personal_service_(nec), Salesmen_and_sales_clerks_(nec), Farm_foremen, Members_of_the_armed_services, Bank_tellers, Shipping_and_receiving_clerks, Real_estate_agents_and_brokers, Professional_technical_99_kindred_workers_(nec), Entertainers_(nec), Cooks_except_private_household, Painters_construction_and_maintenance, Machinists, Designers, Newsboys, Operative_and_kindred_workers_(nec), Automobile-mechanics_and_repairmen, Private_household_workers_(nec), Airplane-mechanics_and_repairmen, Filers_grinders_and_polishers_metal, Stock_and_bond_salesmen, Psychologists, Insurance_agents_and_brokers, Industrial-Engineers, Guards_watchmen_and_doorkeepers, Nurses_professional, Housekeepers_private_household, Charwomen_and_cleaners, Teachers_(n_e_c_), Office_machine_operators, Housekeepers_and_stewards_except_private_household, Subject_not_specified-Professors, Radio_and_television-mechanics_and_repairmen, Therapists_and_healers_(nec), Medical_and_dental-technicians, Musicians_and_music_teachers, Draftsmen, Physicians_and_surgeons, Attendants_and_assistants_library, Hucksters_and_peddlers, Farm_laborers_wage_workers, Truck_and_tractor_drivers, Tool_makers_and_die_makers_and_setters, Service_workers_except_private_household_(nec), Attendants_auto_service_and_parking, Buyers_and_dept_heads_store, Editors_and_reporters, Telephone_operators, Mechanics_and_repairmen_(nec), Meat_cutters_except_slaughter_and_packing_house, Personnel_and_labor_relations_workers, Attendants_physicians_and_dentists_office, Engineers_(nec), Accountants_and_auditors, Mechanical-Engineers, Officials_250_administratators_(nec)_public_administration, Sawyers, Dentists, Office_machine-mechanics_and_repairmen, Carpenters, Farm_managers, Welders_and_flame_cutters, Biological_scientists, Firemen_fire_protection, Artists_and_art_teachers, Bus_drivers, Electricians, Deliverymen_and_routemen, Plumbers_and_pipe_fitters, Practical_nurses, Lawyers_and_judges, Pattern_and_model_makers_except_paper, Photographic_process_workers, Gardeners_except_farm_and_groundskeepers, Mail_carriers, Barbers_beauticians_and_manicurists, Painters_except_construction_or_maintenance, Messengers_and_office_boys, Inspectors_(nec), Molders_metal, Nonscientific_subjects-Professors, Authors, Auto_mechanics_apprentice, Technicians_(nec), Bakers, Counter_and_fountain_workers, Cement_and_concrete_finishers, Testing-technicians, Laundry_and_dry_cleaning_Operatives, Mine_operatives_and_laborers, Policemen_and_detectives, Tailors_and_tailoresses, Bartenders, Advertising_agents_and_salesmen, Attendants_recreation_and_amusement, Ticket_station_and_express_agents, Taxicab_drivers_and_chauffeurs, Electrical-Engineers, Stationary_firemen, Radio_operators, Librarians, Architects, Surveyors, Economists, Recreation_and_group_workers, Jewelers_watchmakers_goldsmiths_and_silversmiths, Civil-Engineers, Structural_metal_workers, Collectors_bill_and_account, Longshoremen_and_stevedores, Dispatchers_and_starters_vehicle, Compositors_and_typesetters, Mathematics-Professors, Farmers_(owners_and_tenants), Linemen_and_servicemen_telegraph_telephone_540_power, Cabinetmakers, Upholsterers, Postmasters, Auctioneers, Clergymen, Oilers_and_greaser_except_auto, Inspectors_public_administration, Roofers_and_slaters, Dieticians_and_nutritionists, Excavating_grading_and_road_machinery_operators, Tinsmiths_coppersmiths_and_sheet_metal_workers, Chemical-Engineers, Aeronautical-Engineers, Glaziers, Dressmakers_and_seamstresses_except_factory, Pressmen_and_plate_printers_printing, Photoengravers_571_lithographers, Motion_picture_projectionists, Ushers_recreation_and_amusement, Brickmasonsstonemasons_and_tile_setters, Religious_workers, Brakemen_railroad, Sports_instructors_and_officials, Optometrists, Porters, Managers_230_superintendants_building, Engravers_except_engravers, Shoemakers_and_repairers_except_factory, Cranemenderrickmen_and_hoistmen, Funeral_directors_and_embalmers, Dancers_and_dancing_teachers, Stationary_engineers, Opticians_and_lens_grinders_and_polishers, Bookbinders, Airplane_pilots_and_navigators, Veterinarians, Millwrights, Heat_treaters_annealers_temperers, Photographers, Officers_pilots_pursers_and_engineers_ship, Conductors_railroad, Sheriffs_and_bailiffs, Watchmen_(crossing)_and_bridge_tenders, Job_setters_metal, Fishermen_and_oystermen, Plasterers, Aricultural_sciences-Professors, Demonstrators, Asbestos_and_insulation_workers, Pharmacists, Chiropractors, Psychology-Professors, Misc_social_scientists, Forgemen_and_hammermen, Mining-Engineers}
@ATTRIBUTE occscore NUMERIC
@ATTRIBUTE sei NUMERIC
@ATTRIBUTE ind1950 {Food_stores_except_dairy, Crude_petroleum_and_natural_gas_extraction, Hospitals, Misc_business_services, Printing_publishing_and_allied_industries, Construction, Misc_wholesale_trade, Aircraft_and_parts, Electrical_machinery_equipment_and_supplies, Not_specified_retail_trade, Liquor_stores, Eating_and_drinking__places, Services_incidental_to_transportation, Welfare_and_religious_services, Theaters_and_motion_pictures, Auto_repair_services_and_garages, Petroleum_refining, Apparel_and_accessories_stores_except_shoe, Agriculture, Jewelry_stores, Federal_public_administration, Banking_and_credit, Retail_florists, Furniture_and_house_furnishings_stores, Electrical_goods_hardware_and_plumbing_equipment, Real_estate, Educational_services, Hotels_and_lodging_places, Air_transportation, Food_and_related_products, General_merchandise, Motor_vehicles_and_accessories_retailing, Private_households, Warehousing_and_storage, Misc_machinery, Fabricated_steel_products, Security_and_commodity_brokerage_and_invest_companies, Furniture_and_fixtures, Gasoline_service_stations, Telephone, Insurance, Medical_and_other_health_services_except_hospitals, Primary_nonferrous_industries, Apparel_and_accessories, Office_and_store_machines, Misc_retail_stores, Professional_equipment, Trucking_service, Misc_chemicals_and_allied_products, Misc_repair_services, Engineering_and_architectural_services, Misc_fabricated_textile_products, Misc_wood_products, Accounting_auditing_and_bookkeeping_services, Misc_personal_services, Beverage_industries, Photographic_equipment_and_supplies, Local_public_administration, Rubber_products, Radio_broadcasting_and_television, Misc_petroleum_and_coal_products, Water_transportation, Motor_vehicles_and_equipment, Dry_goods_apparel, Paperboard_containers_and_boxes, Other_primary_iron_and_steel_industries, Pottery_and_related_prods, Postal_service, Glass_and_glass_products, Advertising, Bakery_products, Misc_manufacturing_industries, Ship_and_boat_building_and_repairing, Confectionary_and_related_products, Legal_services, Misc_professional_and_related, Street_railways_and_bus_lines, Cement_concrete_gypsum_and_plaster_products, Footwear_except_rubber, Not_specified_food_industries, Machinery_equipment_and_supplies, Railroads_and_railway, Shoe_stores, Motor_vehicles_and_motor_vehicle_equipment, Dairy_prods_stores_and_milk_retailing, Lumber_and_building_material_retailing, Pulp_paper_and_paper-board_mills, Misc_entertainment_and_recreation_services, Drugs_chemicals_and_allied_products, Agricultural_machinery_and_tractors, Meat_products, Nonprofit_membership_organizs, Water_supply, Not_specified_wholesale_trade, Misc_food_preparations_and_kindred_products, Household_appliance_and_radio_stores, Canning_and_preserving_fruits_vegetables_and_seafoods, Laundering_cleaning_and_dyeing, Hardware_and_farm_implement_stores, Nonmettalic__mining_and_quarrying_except_fuel, Blast_furnaces_steel_works_336_rolling_mills, Leather_products_except_footwear, Taxicab_service, Drugs_and_medicines, Drug_stores, Misc_nonmetallic_mineral_and_stone_products, Bowling_alleys_and_billiard_and_pool_parlors, Petroleum_products, Sawmills_planing_mills_and_mill_work, Not_specified_metal_industries, Five_and_ten_cent_stores, Electric_light_and_power, Carpets_rugs_and_other_floor_coverings, Paints_varnishes_and_related_products, Electric-gas_utilities, Tobacco_manufactures, Dressmaking_shops, Telegraph, Yarn_thread_and_fabric, Sanitary_services, Forestry, Gas_and_steam_supply_systems, Dairy_products, Misc_textile_mill_products, Railroad_and_misc_transportation_equipment, Misc_paper_and_pulp_products, Knitting_mills, Metal_mining, Fuel_and_ice_retailing, Structural_clay_products, Shoe_repair_shops}
@ATTRIBUTE classwkg {Works_for_wages_salary, Self-employed}
@ATTRIBUTE wkswork2 {40-47_weeks, 14-26_weeks, 50-52_weeks, 48-49_weeks, 1-13_weeks, 27-39_weeks}
@ATTRIBUTE hrswork2 {15-29_hours, 49-59_hours, 40_hours, 30-34_hours, 60+_hours, 35-39_hours, 41-48_hours, 1-14_hours}
@ATTRIBUTE yrlastwk {Worked_3-5_yrs_ago, Worked_current_yr, Never_worked, Worked_previous_yr, Worked_6-10_yrs_ago, Worked_more_than_10_yrs_ago, Worked_2_yrs_prior}
@ATTRIBUTE workedyr {No, Yes}
@ATTRIBUTE inctot NUMERIC
@ATTRIBUTE incwage NUMERIC
@ATTRIBUTE incbus NUMERIC
@ATTRIBUTE incfarm NUMERIC
@ATTRIBUTE incss NUMERIC
@ATTRIBUTE incwelfr NUMERIC
@ATTRIBUTE incother NUMERIC
@ATTRIBUTE poverty NUMERIC
@ATTRIBUTE migrat5g {Same_state_countydifferent_house, Same_house, Same_state_different_county, Abroad, Different_state}
@ATTRIBUTE migplac5 {California, Same_house, Abroad_n_s, Connecticut, Arizona, Oregon, Arkansas, New_York, Alabama, Ohio, Michigan, United_States_n_s__or_confidential, West_Virginia, Massachusetts, Illinois, Pennsylvania, Washington, Kansas, Colorado, New_Jersey, Florida, Hawaii, Puerto_Rico, Delaware, Texas, New_Mexico, Oklahoma, Tennessee, Virginia, North_Carolina, New_Hampshire, Georgia, Louisiana, Minnesota, South_Carolina, Wisconsin, Maine, North_Dakota, Idaho, Missouri, Maryland, Kentucky, Mississippi, Indiana, District_of_Columbia, Utah, Nevada, Rhode_Island, Vermont}
@ATTRIBUTE movedin NUMERIC
@ATTRIBUTE vetstat {No_Service, Yes}
@ATTRIBUTE tranwork {Auto, Walked_only, Bus_or_streetcar, Truck, Motorcycle, Van, Worked_at_home, Bicycle, Other, Taxicab}
@ATTRIBUTE marst {Married_spouse_present, Never_married_single, Divorced, Widowed, Separated, Married_spouse_absent}

@DATA
98.0,HH_in_1970_definition_but_sampled_as_larger_unit,?,Non-Farm,Rented,999999.0,155.0,3840.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,3.0,0.0,0.0,1.0,?,99.0,1.0,Sibling,1.0,Female,?,?,California,No_not_in_school,?,?,?,?,?,0.0,0.0,?,?,?,?,?,?,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,?,65.0,?,?,0.0,?,?,Never_married_single
?,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),?,Owned_or_being_bought_(loan),112500.0,0.0,?,1.0,1.0,1.0,1.0,?,0.0,?,1.0,?,1.0,0.0,0.0,?,0.0,0.0,1.0,99.0,99.0,4.0,?,16.0,Female,White,?,California,Yes_in_school,Grade_10,Public_school,Unemployed,Yes_in_labor_force,?,0.0,?,?,?,?,?,Never_worked,No,?,0.0,0.0,0.0,0.0,0.0,0.0,441.0,Same_house,?,0.0,No_Service,?,Never_married_single
98.0,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Rented,999999.0,375.0,?,1.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,?,0.0,1.0,18.0,18.0,0.0,Head_Householder,39.0,Female,White,?,California,No_not_in_school,Grade_11,?,Employed,Yes_in_labor_force,Waiters_and_waitresses,11.0,16.0,Eating_and_drinking__places,?,50-52_weeks,30-34_hours,?,?,4505.0,4505.0,0.0,0.0,0.0,0.0,?,?,?,?,1.0,No_Service,Auto,Divorced
98.0,Other_group_quarters,Rooming_house,Non-Farm,?,999999.0,0.0,?,1.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,?,0.0,0.0,1.0,0.0,0.0,?,?,99.0,?,Other_non-relatives,90.0,Female,White,0.0,Abroad_(unknown)_or_at_sea,No_not_in_school,Grade_5-8,?,Not_in_labor_force,No_not_in_labor_force,?,0.0,0.0,?,?,?,?,?,No,4355.0,0.0,0.0,?,0.0,4355.0,0.0,?,?,?,0.0,No_Service,?,Widowed
98.0,HH_in_1970_definition_but_sampled_as_larger_unit,?,?,Owned_or_being_bought_(loan),?,0.0,17985.0,1.0,1.0,1.0,0.0,?,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,99.0,99.0,0.0,Spouse,60.0,Female,White,0.0,California,No_not_in_school,Grade_12,?,Not_in_labor_force,No_not_in_labor_force,?,0.0,0.0,?,?,?,?,?,No,?,0.0,0.0,?,?,0.0,0.0,315.0,?,?,0.0,No_Service,?,Married_spouse_present
98.0,?,NA_(household),Non-Farm,Owned_or_being_bought_(loan),200000.0,0.0,54245.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,?,0.0,1.0,0.0,?,4.0,0.0,0.0,?,99.0,99.0,1.0,Child,13.0,Female,White,?,California,Yes_in_school,Grade_5-8,Other_private_1980,?,?,?,?,0.0,?,?,?,?,?,?,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,?,501.0,Same_state_countydifferent_house,California,0.0,?,?,Never_married_single
98.0,HH_in_1970_definition_but_sampled_as_larger_unit,?,Non-Farm,Rented,999999.0,325.0,?,1.0,?,0.0,0.0,?,0.0,0.0,?,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,99.0,99.0,0.0,Head_Householder,24.0,Male,Japanese,?,Japan,No_not_in_school,1_to_3_years_of_college,?,Employed,Yes_in_labor_force,Attendants_professional_and_personal_service_(nec),15.0,26.0,Services_incidental_to_transportation,Works_for_wages_salary,50-52_weeks,60+_hours,?,Yes,16160.0,16005.0,0.0,0.0,?,0.0,?,495.0,?,Abroad_n_s,1.0,No_Service,Auto,?
98.0,HH_in_1970_definition_but_sampled_as_larger_unit,?,Non-Farm,Owned_or_being_bought_(loan),137500.0,?,46485.0,1.0,1.0,1.0,1.0,?,?,1.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,?,99.0,99.0,0.0,Child,0.0,Female,?,?,?,No_not_in_school,?,?,?,?,?,0.0,0.0,?,?,?,?,?,?,?,999999.0,999999.0,?,99999.0,99999.0,99999.0,501.0,?,?,0.0,?,?,Never_married_single
98.0,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Owned_or_being_bought_(loan),?,?,37850.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,?,?,1.0,1.0,2.0,0.0,0.0,1.0,?,?,0.0,?,40.0,Female,Other_race_nec,0.0,Cuba,No_not_in_school,?,?,Employed,Yes_in_labor_force,Clerical_and_kindred_workers_(n_e_c_),24.0,44.0,Welfare_and_religious_services,Works_for_wages_salary,50-52_weeks,40_hours,?,Yes,14805.0,14805.0,0.0,0.0,0.0,0.0,0.0,501.0,?,?,0.0,?,Auto,Married_spouse_present
98.0,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,?,999999.0,85.0,4810.0,1.0,0.0,0.0,0.0,?,0.0,?,0.0,?,0.0,0.0,0.0,1.0,0.0,0.0,1.0,99.0,?,0.0,Head_Householder,72.0,Female,Black_Negro,12.0,Virginia,No_not_in_school,Grade_1-4,?,Not_in_labor_force,No_not_in_labor_force,?,0.0,?,?,?,?,?,Worked_6-10_yrs_ago,No,?,?,0.0,0.0,4445.0,0.0,0.0,137.0,?,?,6.0,?,?,Widowed
98.0,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Rented,999999.0,325.0,26305.0,1.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,?,0.0,0.0,?,?,?,0.0,Head_Householder,?,Male,White,?,Missouri,No_not_in_school,4+_years_of_college,?,?,Yes_in_labor_force,Managers_officials_and_proprietors_(nec),35.0,68.0,Theaters_and_motion_pictures,Works_for_wages_salary,?,?,?,Yes,26305.0,?,0.0,0.0,0.0,0.0,0.0,501.0,Different_state,?,1.0,No_Service,Auto,?
98.0,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Rented,999999.0,450.0,9660.0,4.0,1.0,1.0,?,0.0,?,0.0,0.0,?,0.0,?,1.0,4.0,?,?,1.0,?,1.0,1.0,Head_Householder,29.0,Male,Chinese,?,Portugal,Yes_in_school,1_to_3_years_of_college,Public_school,Not_in_labor_force,?,?,0.0,?,?,?,?,?,Worked_more_than_10_yrs_ago,No,0.0,0.0,0.0,0.0,?,0.0,0.0,126.0,Abroad,Abroad_n_s,1.0,No_Service,?,Married_spouse_present
?,?,?,Non-Farm,Rented,?,?,?,?,?,1.0,?,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,?,4.0,?,1.0,16.0,5.0,0.0,Head_Householder,35.0,Female,White,4.0,Central_America,No_not_in_school,Grade_12,?,Employed,Yes_in_labor_force,Cashiers,18.0,44.0,Auto_repair_services_and_garages,?,50-52_weeks,?,?,Yes,7205.0,?,?,0.0,?,0.0,0.0,84.0,?,?,1.0,No_Service,Auto,Divorced
98.0,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),?,Rented,?,135.0,8045.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,?,0.0,?,0.0,2.0,?,0.0,1.0,99.0,?,?,?,3.0,Male,White,?,California,?,?,Church-related_(1980),?,?,?,0.0,0.0,?,?,?,?,?,?,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,?,?,?,0.0,?,?,Never_married_single
98.0,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Rented,999999.0,?,24005.0,?,1.0,1.0,1.0,1.0,0.0,?,2.0,?,?,0.0,0.0,5.0,?,0.0,1.0,99.0,99.0,2.0,?,?,Female,White,?,California,No_not_in_school,?,?,?,?,?,0.0,0.0,?,?,?,?,?,?,999999.0,999999.0,?,?,99999.0,99999.0,99999.0,276.0,?,?,?,?,?,Never_married_single
98.0,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,?,999999.0,325.0,?,1.0,0.0,1.0,0.0,1.0,0.0,?,0.0,0.0,?,?,0.0,2.0,0.0,?,?,99.0,99.0,0.0,?,11.0,?,White,?,?,Yes_in_school,Grade_5-8,Public_school,?,?,?,?,0.0,?,?,?,?,?,?,999999.0,?,?,?,99999.0,?,99999.0,358.0,Same_state_countydifferent_house,?,0.0,?,?,Never_married_single
98.0,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Rented,?,?,?,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,1.0,?,0.0,1.0,99.0,?,?,Head_Householder,21.0,Female,White,0.0,California,?,Grade_12,?,Employed,Yes_in_labor_force,Clerical_and_kindred_workers_(n_e_c_),25.0,44.0,Petroleum_refining,Works_for_wages_salary,50-52_weeks,40_hours,?,Yes,11005.0,11005.0,0.0,?,0.0,0.0,0.0,290.0,Same_state_countydifferent_house,?,1.0,No_Service,Auto,Never_married_single
98.0,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Rented,999999.0,500.0,?,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,?,0.0,?,0.0,0.0,1.0,99.0,?,2.0,Child,?,?,White,?,Texas,Yes_in_school,Grade_5-8,Public_school,?,?,?,0.0,0.0,?,?,?,?,?,?,0.0,999999.0,999999.0,999999.0,0.0,0.0,?,309.0,Same_state_countydifferent_house,?,0.0,?,?,Never_married_single
98.0,?,NA_(household),?,Owned_or_being_bought_(loan),112500.0,0.0,39520.0,1.0,1.0,1.0,1.0,2.0,?,1.0,?,0.0,1.0,?,?,6.0,?,?,1.0,99.0,99.0,?,Child,20.0,Male,White,?,California,?,1_to_3_years_of_college,Public_school,Employed,Yes_in_labor_force,Salesmen_and_sales_clerks_(nec),24.0,47.0,Apparel_and_accessories_stores_except_shoe,Works_for_wages_salary,50-52_weeks,40_hours,?,Yes,6005.0,6005.0,0.0,0.0,0.0,0.0,?,393.0,?,?,0.0,No_Service,Truck,Never_married_single
?,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Rented,999999.0,145.0,?,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,?,?,0.0,?,99.0,99.0,1.0,Sibling,82.0,Female,White,0.0,Missouri,No_not_in_school,Grade_5-8,?,Not_in_labor_force,No_not_in_labor_force,?,0.0,?,?,?,?,?,?,No,4830.0,0.0,0.0,0.0,3265.0,1565.0,0.0,207.0,?,?,?,No_Service,?,Widowed
98.0,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Owned_or_being_bought_(loan),?,0.0,4810.0,1.0,1.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,1.0,2.0,0.0,0.0,1.0,99.0,99.0,0.0,Head_Householder,72.0,Male,White,?,Pennsylvania,?,4+_years_of_college,?,Not_in_labor_force,?,?,0.0,0.0,?,?,?,?,?,?,2405.0,0.0,0.0,0.0,2405.0,?,?,109.0,Same_house,Same_house,7.0,No_Service,?,Married_spouse_present
98.0,HH_in_1970_definition_but_sampled_as_larger_unit,?,?,?,62500.0,?,75000.0,1.0,1.0,?,?,2.0,0.0,1.0,1.0,0.0,1.0,0.0,?,?,?,?,1.0,?,99.0,2.0,Child,24.0,?,Black_Negro,?,Texas,?,1_to_3_years_of_college,?,Employed,Yes_in_labor_force,Farm_foremen,?,20.0,?,Works_for_wages_salary,48-49_weeks,49-59_hours,?,Yes,17505.0,17505.0,0.0,?,0.0,0.0,0.0,501.0,?,?,0.0,No_Service,Auto,Never_married_single
98.0,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),?,Rented,999999.0,?,8005.0,1.0,?,1.0,1.0,?,?,1.0,1.0,0.0,1.0,0.0,?,6.0,0.0,0.0,1.0,99.0,?,3.0,Child,7.0,?,White,?,Abroad_(unknown)_or_at_sea,No_not_in_school,Grade_1-4,?,?,?,?,0.0,?,?,?,?,?,?,?,999999.0,999999.0,?,999999.0,99999.0,?,99999.0,82.0,?,?,0.0,?,?,Never_married_single
98.0,?,?,Non-Farm,Rented,999999.0,450.0,?,?,1.0,?,1.0,0.0,0.0,?,0.0,0.0,0.0,2.0,?,?,1.0,0.0,1.0,15.0,?,0.0,Head_Householder,?,?,White,?,Turkey,No_not_in_school,None_or_preschool,?,Employed,Yes_in_labor_force,Managers_officials_and_proprietors_(nec),?,68.0,Jewelry_stores,Self-employed,?,40_hours,?,Yes,11150.0,10925.0,0.0,0.0,0.0,0.0,0.0,190.0,?,?,1.0,No_Service,?,Married_spouse_present
98.0,?,NA_(household),Non-Farm,Owned_or_being_bought_(loan),72500.0,0.0,24110.0,1.0,1.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,2.0,1.0,2.0,?,0.0,1.0,?,?,0.0,?,42.0,Male,White,?,North_Carolina,No_not_in_school,4+_years_of_college,?,Employed,Yes_in_labor_force,?,11.0,?,Federal_public_administration,Works_for_wages_salary,50-52_weeks,40_hours,?,Yes,19505.0,19505.0,?,0.0,0.0,0.0,0.0,494.0,?,?,1.0,?,?,Married_spouse_present
?,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),?,Owned_or_being_bought_(loan),999999.0,0.0,23925.0,?,1.0,1.0,1.0,1.0,0.0,?,2.0,0.0,1.0,0.0,0.0,7.0,0.0,?,1.0,99.0,99.0,4.0,?,23.0,Female,White,?,Mexico,Yes_in_school,1_to_3_years_of_college,Public_school,Employed,Yes_in_labor_force,Bank_tellers,26.0,52.0,Banking_and_credit,Works_for_wages_salary,50-52_weeks,40_hours,?,?,1960.0,955.0,?,0.0,0.0,0.0,0.0,?,?,?,0.0,No_Service,Motorcycle,Never_married_single
